"cylinders(p0)","cylinders(p1)","cylinders(p2)","cylinders(p3)","displacement","horsepower","weight","acceleration","year(p0)","year(p1)","year(p2)","year(p3)","year(p4)","year(p5)","year(p6)","year(p7)","year(p8)","year(p9)","year(p10)","year(p11)","origin(p0)","origin(p1)","mpg"
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.850129198966408,-0.771739130434783,-0.698327190246669,0.19047619047619,0,0,0,0,0,0,0,0,0,0.992395326897746,-0.0905928844174348,-0.0833333333333334,0,1,0.319148936170213
0,0,0.968245836551854,-0.25,-0.483204134366925,-0.239130434782609,-0.270201304224553,-0.452380952380952,0,0,0,0,0,0,0,0,0,0,0.996521728591783,-0.0833333333333334,0,1,-0.127659574468085
0,0,0.968245836551854,-0.25,-0.0180878552971576,-0.195652173913043,0.0189963141480012,-0.154761904761905,0,0,0,0,0,0,0,0.981306762925316,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,-0.866025403784439,-0.5,-0.515957446808511
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.767441860465116,-0.467391304347826,-0.651261695491919,-0.285714285714286,0.735980072193987,-0.424918292799399,-0.300462606288666,-0.232737334062816,-0.190029237516523,-0.160604018609905,-0.139087160066047,-0.122663345365665,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,0,1,-0.148936170212766
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.891472868217054,-0.826086956521739,-0.868443436348171,-0.130952380952381,0,0,0,0,0,0,0,0,0,0.992395326897746,-0.0905928844174348,-0.0833333333333334,0.866025403784439,-0.5,0.106382978723404
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.72609819121447,-0.304347826086957,-0.406294301105756,-0.285714285714286,0,0,0.901387818865997,-0.232737334062816,-0.190029237516523,-0.160604018609905,-0.139087160066047,-0.122663345365665,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,0.866025403784439,-0.5,-0.202127659574468
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.850129198966408,-1,-0.874113977884888,0.488095238095238,-0.735980072193987,-0.424918292799399,-0.300462606288666,-0.232737334062816,-0.190029237516523,-0.160604018609905,-0.139087160066047,-0.122663345365665,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,0.866025403784439,-0.5,-0.0957446808510639
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.571059431524548,-0.576086956521739,-0.295718741139779,0.142857142857143,0,0,0,0,0,0,0,0.981306762925316,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,-0.866025403784439,-0.5,-0.212765957446808
0,0,0,1,0.715762273901809,0.347826086956522,0.77658066345336,-0.523809523809524,0.735980072193987,-0.424918292799399,-0.300462606288666,-0.232737334062816,-0.190029237516523,-0.160604018609905,-0.139087160066047,-0.122663345365665,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,-0.866025403784439,-0.5,-0.787234042553192
0.790569415042095,-0.456435464587639,-0.322748612183951,-0.25,-0.881136950904393,-0.923913043478261,-0.896796144031755,0.130952380952381,0,0,0,0,0.950146187582615,-0.160604018609905,-0.139087160066047,-0.122663345365665,-0.109713431434064,-0.0992395326897746,-0.0905928844174348,-0.0833333333333334,0,1,0.276595744680851
